id,title,characters,setting,plot,problem,ending
11,Three House Gifts,"Wise man, three daughters","House by a stream, magical houses of rice, gold, and books","Once upon a time, a wise man lived with his three daughters in a house by a stream. 
He had magical powers. One day, he called his daughters and said, I will give each of you a special gift before I die.
He gave the eldest daughter a house full of rice, the second daughter a house full of gold, 
and the youngest daughter a house full of books.","The eldest daughter ate all day in her rice house and grew so big she could not leave. 
The second daughter bought many things with her gold and ran out of space.
The youngest daughter read her books every day. 
She learned new things and helped the people around her. 
She could cook, make things, and solve problems.","The youngest daughter became very wise. 
People came from all over to learn from her and borrow books. 
Each time she shared a book, a new one appeared.
 A village grew around her house of books, and she was called ,the wise one."
12,New Home,The child,New house near railroad tracks,We just moved to a new house. I have my own room! It is warm and cozy. But the house is near the railroad tracks.,"Trains pass by all day. Too loud! I shout. The horns and lights wake me up. The house shakes. I can't sleep or 
concentrate. Sometimes I am late for school.","I watch the trains from my window. I learn their names and times. Hello, Lentera Train!
 I wave. Now the trains help me know the time for school and play. I like watching them!"
13,"Let’s Play ”Run Through the House”
","Babui, Payra (his sister), Mother, friends",Babui’s home and the playground outside,"Babui comes home happy after playing with friends. 
At home, he tells his mother and sister Payra about a new game he learned called Dariyabandha. “It was fun!” he says with a smile.","Babui explains the game. Players run through square rooms while the other team tries to tag them. 
Babui almost gets caught, but he runs fast and escapes.","Babui’s team does not win, but everyone laughs and enjoys the game. 
Babui says the game is fun because players can jump, spin, and be creative. 
Payra wants to play too, and they plan to play together next time."
14,The Secret of the Sleepy Story House,"Lily, Teddy, Kitty",A quiet little town and a sleepy old house,"One day, Lily and her teddy bear, Teddy, were walking in their little town. They saw a big, sleepy old house.
“Let’s look inside, Teddy!” Lily said.
The door opened with a creeeak! Inside, dust sparkled like tiny stars. Lily giggled.
They met a small cat. “Hello, Kitty!” Lily said. Kitty meowed as if to say, “Follow me!”","Kitty led them around the house. Lily saw a shiny red ball, heard the drip-drop sink, 
and looked at the pretty garden.
But then Kitty tapped Lily’s shoe and pointed to a tiny door in the floor.
“What is this?” Lily wondered.
Inside the door was a locked treasure box. Lily didn’t know what was inside or if it was safe to open. 
She felt a little scared but curious.","Lily took a deep breath. “We can do this,” she told Teddy.
She opened the treasure box. Inside were shiny stones and a paper with a smiley face.
“It’s a happy treasure!” Lily said.
Kitty purred. Teddy “smiled,” too.
Lily, Teddy, and Kitty had solved the mystery of the sleepy house. They said goodbye and walked home with happy hearts.
The End."
15,Whispers of Hawthorne House,"Clara, Max, Elizabeth Hawthorne, Margaret Hawthorne, Hawthorne House","The quiet, mysterious town of Eldridge Hollow
The Hawthorne House at the end of Willow Lane","Clara and Max decide to explore Hawthorne House.
“Let’s just take a quick look,” Max says.
Clara nods. “Okay… but stay close.”
Inside, they hear whispers and see shadows.
“What was that?!” Max yelps.
“The house is trying to tell us something,” Clara says softly.
They reach the attic and open the old trunk.
“Letters,” Clara whispers. “They’re from Elizabeth Hawthorne.”
Max frowns. “Elizabeth… like the ghost?”
When Clara winds the music box, a sad melody plays.
A soft voice echoes, “Help… us…”
“Elizabeth? Margaret? What do you want us to do?” Clara asks.
“Free us,” the spirits whisper.","Clara realizes the sisters are trapped.
“We have to help them,” she tells Max.
Max shakes his head. “Clara… I’m scared. What if something goes wrong?”
Clara takes a breath. “If we don’t try, they’ll be stuck forever.”
The spirits whisper urgently:
“Midnight… play the music… speak our names…”
“Midnight?” Max gasps. “That’s soon!”","The clock strikes twelve.
“Clara, now!” Max says nervously.
Clara winds the music box.
The music fills the attic.
“Elizabeth Hawthorne… Margaret Hawthorne…” Clara calls out.
“We remember you. We won’t let your story disappear.”
A warm light fills the room.
“Thank you…” the spirits whisper.
Clara smiles. “You’re free now.”
As they leave the house, Max sighs in relief.
“That was the scariest thing I’ve ever done.”
Clara laughs softly. “But we did it. Together.”"
16,The Three Little Pigs,"First Little Pig, Second Little Pig, Third Little Pig, Wolf","A village/roadside lane where the pigs go to build houses
Three houses. Straw house, Stick house, and Brick house","Mother Pig sends the pigs out:
Mother Pig: “Go and build your own houses, my little pigs!”
First pig builds a straw house and plays all day.
Second pig builds a stick house and plays some.
Third pig builds a strong brick house.
The wolf arrives, wanting to eat them:
Wolf: “Then I’ll huff and I’ll puff and I’ll blow your house down!”
He blows down the straw house, the first pig runs to the stick house.
He blows down the stick house, both pigs run to the brick house.
He tries the brick house but cannot blow it down.
The wolf tries the chimney:
Wolf: “I’ll come down the chimney and eat you all!”
Third Pig: “Not today!” (puts on a boiling pot)
Plop! The wolf falls in the water.","The pigs are threatened by the wolf.
Their first two houses are too weak.
They must escape and find safety.
Wolf: “Little pigs! I’m going to get you!”
First Pig: “Run to the brick house! Hurry!”","The pigs are safe in the brick house.
The wolf falls in the boiling water and is gone.
Third Pig: “See? Hard work and strong houses keep us safe!”
First Pig: “I should have worked harder!”
Second Pig: “Me too!”
They celebrate their safety and learn the lesson: hard work pays off."
17,The Whispering House of Sleepyville,"Max, Mr. Clock, Pajamas and Socks","Max’s cozy, creaky house in Sleepyville","Max hears laughter at night.
Max: “Who’s laughing?”
He finds Mr. Clock laughing instead of chiming.
Fixing the clock.
Max opens the clock, finds ticklish gears, and adjusts them.
Mr. Clock: “Ding-dong! Oh, thank you, Max!”
Max: “Now you can tell time properly!”
Bedtime giggles continue.
Max discovers his pajamas and socks giggling in the closet.
Max: “You guys need to calm down! We need to get some sleep!”
The whole house learns to settle.
Max talks to the house to help it be quiet at night.
The house responds with gentle whispers and sighs.","Mr. Clock laughs at the wrong times, keeping Max awake.
Pajamas, socks, and even the house are too lively at night.
Max must find a way to bring calm so everyone can sleep.","Max fixes the clock and helps the house settle.
Pajamas and socks stop giggling at bedtime.
Sleepyville enjoys peaceful nights with soft, happy laughter.
Max: “Thank you for the peaceful night. I knew we could do it.”"
18,The Magic Button Mystery,"Max, Leo, Pip, Toys","A sunny park where Max and Leo play
The old house","Max and Leo play in the park and decide to explore an old house.
Max: “Let's go to the old house!”
Leo: “Yes! Let's go!”
Inside, they find a big shiny button.
Pip the mouse appears: “That button is magic! Press it and see what happens!”
Max presses the button. The toys start dancing.
Leo: “This is amazing!”
Max: “Let's dance!”
At first, the toys stop, but pressing the button again makes them dance once more.
Pip: “Press it again!”
Max and Leo cheer: “I love this magic!”
They decide to share the magic with friends in the park.
Everyone presses the button together, toys dance, and they all laugh and cheer.","The toys stop dancing unexpectedly, and Max and Leo must figure out how to make the magic work again.
They also want to share the magic safely with their friends.","Max and Leo press the button again, and the toys dance happily.
Everyone enjoys the magic together.
Max and Leo continue their adventures, discovering more fun and friendship.
Max: “Let's keep exploring!”
Leo: “Let's find more magic!”"
19,The Bear Brothers' Secret Clubhouse Adventure,"Benny, Timmy, Edgar, Forest Creatures","Sun-dappled forest
Bear brothers’ backyard
Clubhouse itself","Benny proposes a secret clubhouse.
Timmy: “That would be amazing! Can we have a drawbridge?”
Benny: “A drawbridge might be tricky, but we can try for a slide!”
They gather materials and start building, mixing practical plans with imagination.
Timmy: “We could invite all the forest creatures! And have treasure hunts!”
Benny: “We’ll be the talk of the forest!”
Sticky sap, ants, and clumsy hammering
Slide collapses
Timmy: “At least we didn’t try the drawbridge!”
Edgar the eagle inspects the clubhouse and gives advice.
Edgar: “With a bit of feather touch here, and maybe less blue paws, you’ll have a masterpiece.”
Forest creatures visit. Treasure hunts, snacks, and reinforced slide provide fun.
Benny: “Welcome to the Bear Brothers’ Clubhouse! Password is ‘Honeycomb.’”
The brothers sit together, proud of their clubhouse and imagining future adventures.
Timmy: “Tomorrow, let’s make it a submarine!”
Benny: “It’s every adventure we can dream up.”","Building a clubhouse is harder than expected: planks topple, slides collapse, and tools misbehave.
Balancing practical construction with Timmy’s imaginative ideas is a challenge.
They want their clubhouse to be safe, fun, and admired by forest friends.","The clubhouse is completed, imperfect but magical.
Forest friends enjoy treasure hunts and fun activities.
Benny and Timmy reflect proudly on their teamwork, imagination, and endless adventures to come."
20,Tortoise find his Home,"Tortoise, Snail, Sparrow, Ladybird, Mouse","The Veld, During a Storm, Inside Tortoise’s Shell","Tortoise walks through the veld searching.
Snail: “Are you looking for something?”
Tortoise: “Yes, I’m looking for my house. Have you seen it?”
Snail helps by climbing onto Tortoise’s back.
Sparrow and Ladybird see them and offer help.
Sparrow: “You’re going too fast!”
Mouse joins as well. Each one rides on Tortoise’s back.
Wind blows leaves, rain falls, thunder roars.
Friends are blown off Tortoise’s back.
Tortoise: “Eek!”
He retreats into his shell.
Inside his shell, it’s warm and cozy.
Tortoise: “Oh, here is my house!”
His friends also realize: “Oh, here is Tortoise’s house!”","Tortoise cannot find his house anywhere in the veld.
Even with friends helping, the search is difficult.
A storm makes the situation scary and chaotic.","Tortoise discovers that his home is his shell.
The storm teaches him that sometimes what you’re looking for is right with you.
The story emphasizes self-reliance, safety, and friendship."
